"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.interview.greedy.MaxMin","test_max_min","","","","test_max_min[7-input_array4-990]",""
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","1","src.test.java.interview.greedy.LuckBalance","test_luck_balance","","","","test_luck_balance[0-contests4--1]",""
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.interview.greedy.GreedyFlorist","test_greedy_florist","","","","test_greedy_florist[3-input_array2-29]",""
"failed","Wed May 26 18:39:52 GMT 2021","Wed May 26 18:39:52 GMT 2021","63","","interview.greedy.GreedyFlorist.GreedyFloristTest","","interview.greedy.GreedyFlorist.GreedyFloristTest","shouldCalculateCost","[3] 3, [1, 3, 5, 7, 9], 29",""
"broken","Wed May 26 18:39:52 GMT 2021","Wed May 26 18:39:52 GMT 2021","3","","interview.greedy.GreedyFloristKtTest","","interview.greedy.GreedyFloristKtTest","shouldCalculateCostKt","shouldCalculateCostKt(int, Integer[], int)",""
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.interview.greedy.MaxMin","test_max_min","","","","test_max_min[3-input_array8-2]",""
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","1","src.test.java.interview.arrays.left_rotation","test_left_rotation","","","","test_left_rotation[input_array0-4-expected_result0]",""
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.interview.greedy.GreedyFlorist","test_greedy_florist","","","","test_greedy_florist[2-input_array1-15]",""
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","1","src.test.java.interview.arrays.new_year_chaos","test_new_year_chaos","","","","test_new_year_chaos[input_array0-3]",""
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.training01.data_structures.arrays.a02_2d_array_ds","test_hourglass_sum","Array2dTest","","","test_calculate_hourglass_sum",""
"failed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.interview.dynamic_programming.MaxArraySum","test_max_array_sum","","","","test_max_array_sum[input_array2-15]",""
"failed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.interview.dynamic_programming.MaxArraySum","test_max_array_sum","","","","test_max_array_sum[input_array0-13]",""
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.interview.greedy.MinimumAbsoluteDifferenceInAnArray","test_minimum_absolute_difference_in_an_array","","","","test_minimum_absolute_difference_in_an_array[input_array2-3]",""
"failed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.interview.arrays.new_year_chaos","test_new_year_chaos","","","","test_new_year_chaos[input_array3-7]",""
"failed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.interview.dynamic_programming.MaxArraySum","test_max_array_sum","","","","test_max_array_sum[input_array1-11]",""
"passed","Wed May 26 18:39:52 GMT 2021","Wed May 26 18:39:52 GMT 2021","1","","interview.greedy.GreedyFlorist.GreedyFloristTest","","interview.greedy.GreedyFlorist.GreedyFloristTest","shouldCalculateCost","[1] 3, [2, 5, 6], 13",""
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","1","src.test.java.interview.greedy.MaxMin","test_max_min","","","","test_max_min[4-input_array1-3]",""
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.interview.greedy.MaxMin","test_max_min","","","","test_max_min[3-input_array0-20]",""
"failed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.interview.arrays.minimum_swaps_2","test_minimum_swaps_2","","","","test_minimum_swaps_2[input_array2-3]",""
"passed","Wed May 26 18:36:12 GMT 2021","Wed May 26 18:36:12 GMT 2021","0","src.test.java.training01.data_structures.arrays.a01_arrays_ds","test_reverse_array","ArraysDsTest","","","test_reverse_array",""
